"Kod";"Nazwa";"samochody osobowe;benzyna;2015;[szt.]";"samochody osobowe;benzyna;2016;[szt.]";"samochody osobowe;benzyna;2017;[szt.]";"samochody osobowe;benzyna;2018;[szt.]";"samochody osobowe;benzyna;2019;[szt.]";"samochody osobowe;benzyna;2020;[szt.]";"samochody osobowe;benzyna;2021;[szt.]";"samochody osobowe;olej napędowy;2015;[szt.]";"samochody osobowe;olej napędowy;2016;[szt.]";"samochody osobowe;olej napędowy;2017;[szt.]";"samochody osobowe;olej napędowy;2018;[szt.]";"samochody osobowe;olej napędowy;2019;[szt.]";"samochody osobowe;olej napędowy;2020;[szt.]";"samochody osobowe;olej napędowy;2021;[szt.]";"samochody osobowe;gaz (LPG);2015;[szt.]";"samochody osobowe;gaz (LPG);2016;[szt.]";"samochody osobowe;gaz (LPG);2017;[szt.]";"samochody osobowe;gaz (LPG);2018;[szt.]";"samochody osobowe;gaz (LPG);2019;[szt.]";"samochody osobowe;gaz (LPG);2020;[szt.]";"samochody osobowe;gaz (LPG);2021;[szt.]";"samochody osobowe;pozostałe;2015;[szt.]";"samochody osobowe;pozostałe;2016;[szt.]";"samochody osobowe;pozostałe;2017;[szt.]";"samochody osobowe;pozostałe;2018;[szt.]";"samochody osobowe;pozostałe;2019;[szt.]";"samochody osobowe;pozostałe;2020;[szt.]";"samochody osobowe;pozostałe;2021;[szt.]";"samochody ciężarowe;benzyna;2015;[szt.]";"samochody ciężarowe;benzyna;2016;[szt.]";"samochody ciężarowe;benzyna;2017;[szt.]";"samochody ciężarowe;benzyna;2018;[szt.]";"samochody ciężarowe;benzyna;2019;[szt.]";"samochody ciężarowe;benzyna;2020;[szt.]";"samochody ciężarowe;benzyna;2021;[szt.]";"samochody ciężarowe;olej napędowy;2015;[szt.]";"samochody ciężarowe;olej napędowy;2016;[szt.]";"samochody ciężarowe;olej napędowy;2017;[szt.]";"samochody ciężarowe;olej napędowy;2018;[szt.]";"samochody ciężarowe;olej napędowy;2019;[szt.]";"samochody ciężarowe;olej napędowy;2020;[szt.]";"samochody ciężarowe;olej napędowy;2021;[szt.]";"samochody ciężarowe;gaz (LPG);2015;[szt.]";"samochody ciężarowe;gaz (LPG);2016;[szt.]";"samochody ciężarowe;gaz (LPG);2017;[szt.]";"samochody ciężarowe;gaz (LPG);2018;[szt.]";"samochody ciężarowe;gaz (LPG);2019;[szt.]";"samochody ciężarowe;gaz (LPG);2020;[szt.]";"samochody ciężarowe;gaz (LPG);2021;[szt.]";"samochody ciężarowe;pozostałe;2015;[szt.]";"samochody ciężarowe;pozostałe;2016;[szt.]";"samochody ciężarowe;pozostałe;2017;[szt.]";"samochody ciężarowe;pozostałe;2018;[szt.]";"samochody ciężarowe;pozostałe;2019;[szt.]";"samochody ciężarowe;pozostałe;2020;[szt.]";"samochody ciężarowe;pozostałe;2021;[szt.]";"autobusy;benzyna;2015;[szt.]";"autobusy;benzyna;2016;[szt.]";"autobusy;benzyna;2017;[szt.]";"autobusy;benzyna;2018;[szt.]";"autobusy;benzyna;2019;[szt.]";"autobusy;benzyna;2020;[szt.]";"autobusy;benzyna;2021;[szt.]";"autobusy;olej napędowy;2015;[szt.]";"autobusy;olej napędowy;2016;[szt.]";"autobusy;olej napędowy;2017;[szt.]";"autobusy;olej napędowy;2018;[szt.]";"autobusy;olej napędowy;2019;[szt.]";"autobusy;olej napędowy;2020;[szt.]";"autobusy;olej napędowy;2021;[szt.]";"autobusy;gaz (LPG);2015;[szt.]";"autobusy;gaz (LPG);2016;[szt.]";"autobusy;gaz (LPG);2017;[szt.]";"autobusy;gaz (LPG);2018;[szt.]";"autobusy;gaz (LPG);2019;[szt.]";"autobusy;gaz (LPG);2020;[szt.]";"autobusy;gaz (LPG);2021;[szt.]";"autobusy;pozostałe;2015;[szt.]";"autobusy;pozostałe;2016;[szt.]";"autobusy;pozostałe;2017;[szt.]";"autobusy;pozostałe;2018;[szt.]";"autobusy;pozostałe;2019;[szt.]";"autobusy;pozostałe;2020;[szt.]";"autobusy;pozostałe;2021;[szt.]";"ciągniki siodłowe;benzyna;2015;[szt.]";"ciągniki siodłowe;benzyna;2016;[szt.]";"ciągniki siodłowe;benzyna;2017;[szt.]";"ciągniki siodłowe;benzyna;2018;[szt.]";"ciągniki siodłowe;benzyna;2019;[szt.]";"ciągniki siodłowe;benzyna;2020;[szt.]";"ciągniki siodłowe;benzyna;2021;[szt.]";"ciągniki siodłowe;olej napędowy;2015;[szt.]";"ciągniki siodłowe;olej napędowy;2016;[szt.]";"ciągniki siodłowe;olej napędowy;2017;[szt.]";"ciągniki siodłowe;olej napędowy;2018;[szt.]";"ciągniki siodłowe;olej napędowy;2019;[szt.]";"ciągniki siodłowe;olej napędowy;2020;[szt.]";"ciągniki siodłowe;olej napędowy;2021;[szt.]";"ciągniki siodłowe;gaz (LPG);2015;[szt.]";"ciągniki siodłowe;gaz (LPG);2016;[szt.]";"ciągniki siodłowe;gaz (LPG);2017;[szt.]";"ciągniki siodłowe;gaz (LPG);2018;[szt.]";"ciągniki siodłowe;gaz (LPG);2019;[szt.]";"ciągniki siodłowe;gaz (LPG);2020;[szt.]";"ciągniki siodłowe;gaz (LPG);2021;[szt.]";"ciągniki siodłowe;pozostałe;2015;[szt.]";"ciągniki siodłowe;pozostałe;2016;[szt.]";"ciągniki siodłowe;pozostałe;2017;[szt.]";"ciągniki siodłowe;pozostałe;2018;[szt.]";"ciągniki siodłowe;pozostałe;2019;[szt.]";"ciągniki siodłowe;pozostałe;2020;[szt.]";"ciągniki siodłowe;pozostałe;2021;[szt.]";
0000000;"POLSKA";11315095;11694188;12156450;12372309;12787991;13111160;13453745;6090488;6554145;6874307;7290632;7620007;7908948;8149408;2977264;3082548;3038596;3281951;3327624;3388888;3414693;340576;344507;434226;484124;624544;704866;851958;655264;644861;639058;624304;619344;613360;609917;2190911;2283968;2150747;2243185;2330551;2427959;2534069;180477;179448;171542;176003;174264;173339;170733;71724;71378;287191;294674;312025;315058;319477;4143;4133;4134;4116;4105;4102;4107;101085;104375;92008;94803;97330;98727;100213;788;782;773;778;775;771;773;3828;3849;19175;19774;20394;20926;21454;1618;1629;1608;1608;1601;1618;1639;322100;354112;351200;379157;401890;420694;453749;2021;2087;1998;2043;1956;1920;1889;3850;3853;35639;37199;41866;45219;48332;
0200000;"DOLNOŚLĄSKIE";886885;921343;954660;976917;1011409;1039936;1068856;497889;534910;556103;590143;620107;645601;666447;174468;181369;179547;193317;195751;199325;201333;51143;51022;59875;63583;72278;78469;90101;45796;45175;44759;43742;43329;42939;42642;161539;168955;166887;173993;180801;189242;197366;8854;8731;8254;8423;8287;8267;8270;9646;9615;18171;18546;19587;19824;20090;229;231;224;227;227;228;227;8134;8410;8442;8802;9102;9413;9649;11;12;12;12;12;13;15;784;772;1044;1060;1075;1130;1152;79;79;80;79;77;78;77;16429;17556;17961;19466;20700;21839;23152;14;17;14;14;11;10;12;376;376;1316;1403;1594;1753;1974;
0400000;"KUJAWSKO-POMORSKIE";602021;619442;644195;653274;674823;691439;710304;302808;325518;342727;364295;383244;400065;414828;186570;193428;191696;207504;210821;214611;216024;12044;12295;15638;18232;23361;26375;31779;34291;33879;33794;33147;33042;32730;32623;111852;116251;109030;113057;116832;121483;126272;7803;7730;7337;7548;7495;7428;7389;2784;2765;14198;14569;15318;15413;15550;231;227;223;220;220;220;221;5375;5508;4782;4910;4932;4897;4996;5;6;6;6;6;5;5;106;106;946;962;990;991;994;91;95;82;83;84;83;83;14895;16027;14939;15724;16371;17349;18496;192;187;179;236;173;168;162;247;247;1956;2031;2237;2299;2332;
0600000;"LUBELSKIE";534094;552327;579069;582063;599024;614324;630884;345750;373933;395273;421623;441314;462603;482418;218852;227764;223914;244001;247706;253609;256400;1989;2086;7251;8578;16007;18358;23633;35435;35100;35099;34321;34123;33967;33856;109275;114565;104577;109745;114300;120107;125787;9501;9460;8819;9035;8908;8948;8862;1010;997;15652;15829;16615;16805;17022;258;257;252;251;249;249;252;6484;6676;5532;5650;5693;5704;5741;8;9;9;9;9;8;6;43;43;1279;1282;1292;1301;1340;119;121;121;121;121;123;129;15332;16627;15574;16787;17763;19225;21089;73;79;83;104;115;126;132;26;26;2189;2259;2423;2550;2577;
0800000;"LUBUSKIE";336156;348091;359000;366312;378496;387769;397812;173230;187902;197910;212501;225802;236942;246473;65034;67617;66966;71972;73072;74104;74491;3291;3412;6048;6910;9372;10558;12981;17170;17023;16838;16651;16552;16492;16379;61610;65077;58961;62570;65679;69075;72949;2614;2581;2455;2567;2539;2574;2565;895;897;9964;10107;10535;10633;10804;144;144;143;143;142;142;142;2346;2405;1874;1957;2033;2103;2187;7;7;6;6;6;5;5;30;30;657;688;707;713;718;31;31;30;31;32;33;34;8786;9656;9127;9790;10571;10973;11988;9;15;13;13;12;13;12;35;35;1397;1445;1668;1981;2349;
1000000;"ŁÓDZKIE";737150;760695;791906;798479;824300;843746;865590;335438;360749;377092;400942;422757;442237;459997;282272;291878;286392;307857;310834;314865;314762;3454;3610;10296;12626;20935;24346;31348;48687;48012;47581;46654;46345;45802;45461;153140;158507;149114;154469;159709;165263;171085;15944;15761;14991;15242;14989;14868;14526;1819;1821;16097;16590;17651;17817;18043;284;284;281;279;277;276;277;6064;6092;5192;5285;5462;5630;5743;10;8;8;8;9;10;11;59;60;1131;1140;1174;1188;1195;173;171;167;169;168;169;168;19078;21187;21200;22921;24308;25592;27178;62;65;56;63;62;59;58;66;65;1819;1929;2192;2365;2488;
1200000;"MAŁOPOLSKIE";907922;941758;985493;1006402;1042120;1072700;1106378;515935;556711;581498;616635;643317;666491;686027;235389;243007;239006;258448;262657;267942;270463;66426;66526;73863;78002;92722;100311;114421;49650;48711;48572;47262;46773;46108;45827;188868;197586;188883;196927;204999;213489;222951;15246;15031;14247;14615;14383;14371;14216;9389;9332;25663;26356;28285;28682;29177;474;470;490;487;488;488;490;10609;11027;9865;10163;10287;10174;10116;67;66;65;65;65;63;64;568;576;2069;2155;2195;2220;2291;73;73;71;72;72;71;73;20276;22295;22051;23280;24684;26123;28473;50;53;42;44;43;39;38;604;604;2317;2412;2708;2758;2843;
1400000;"MAZOWIECKIE";1675936;1745566;1841549;1896134;1983880;2040126;2100126;911903;983049;1039258;1099624;1138350;1169519;1191705;559448;575686;571263;612724;621414;634062;642481;23069;25483;39423;54970;88568;114014;158123;112870;110961;109897;106733;105925;104923;104548;368612;383900;382705;398259;412221;427383;446226;51870;52182;51316;52528;52453;51958;50967;4531;4531;20295;22127;25375;25769;27029;534;536;537;534;533;533;535;15271;16179;15980;16439;17086;17555;17932;590;589;587;589;585;585;585;278;284;1148;1456;1716;1908;2068;352;354;356;356;355;361;365;75609;84720;90334;99026;105858;110033;119585;1201;1228;1218;1178;1171;1148;1141;400;407;3528;3838;4596;5237;6098;
1600000;"OPOLSKIE";357764;365198;373196;376994;385236;392152;399109;162406;174074;181635;192921;202992;211872;219185;57735;59705;58647;63346;64439;65764;65838;3572;3653;6090;6903;9835;11078;13392;18046;17820;17674;17481;17411;17321;17270;49259;51124;45201;47415;49557;51929;54425;2885;2908;2780;2864;2832;2830;2793;1381;1385;9190;9303;9662;9720;9806;202;202;203;203;203;202;202;2352;2422;1932;2055;2101;2123;2150;5;4;3;4;4;4;4;75;73;647;650;655;658;661;40;42;42;42;39;39;41;7569;8152;7464;7999;8439;9005;9659;18;16;14;15;15;13;13;92;92;1279;1306;1373;1383;1427;
1800000;"PODKARPACKIE";479848;496232;520163;524741;541769;556134;572457;325138;355315;384501;409450;420895;436852;449222;157463;165954;165168;182747;186961;192469;195016;62299;62180;63564;64938;69659;71813;75816;23399;22932;22776;21956;21708;21328;21108;100750;106104;103155;108763;114029;119912;125648;7995;7969;7504;7714;7553;7522;7384;13348;13153;20979;21162;21866;21903;21975;82;82;81;78;77;76;75;4890;4986;4512;4624;4729;4678;4634;12;10;11;11;10;9;9;590;586;1132;1145;1176;1221;1262;46;47;48;48;47;51;53;11547;12717;12667;13867;15037;16093;17556;28;29;30;29;29;27;30;399;397;1438;1477;1583;1675;1723;
